epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.243,1.39555,2.69699,1.34298,0.01018,0.87047,0.24209,0.12636,1.27767,3.11017,1.29247,0.00046,0.00046,0.00046
2,224.857,1.1709,1.75388,1.23361,0.00975,0.38342,0.05642,0.02426,1.76034,3.52652,1.74172,0.000921388,0.000921388,0.000921388
3,338.291,1.15539,1.54813,1.19363,0.03571,0.12435,0.02136,0.0125,1.69379,3.7065,1.71387,0.00136377,0.00136377,0.00136377
4,445.633,1.24152,1.62459,1.2785,0.35328,0.28497,0.22574,0.12107,1.62153,2.5845,1.6065,0.00178714,0.00178714,0.00178714
5,552.725,1.29578,1.64013,1.30869,0.2034,0.18653,0.11095,0.06558,1.58537,3.21582,1.67219,0.0018416,0.0018416,0.0018416
6,659.592,1.21818,1.42776,1.25279,0.45135,0.28497,0.31415,0.21781,1.53324,2.57149,1.77142,0.001802,0.001802,0.001802
7,765.537,1.25246,1.48074,1.29767,0.47057,0.31606,0.30181,0.20176,1.55796,2.79936,1.74441,0.0017624,0.0017624,0.0017624
8,875.574,1.25016,1.42642,1.2884,0.47558,0.52158,0.47604,0.27533,1.65567,2.16076,1.69129,0.0017228,0.0017228,0.0017228
9,981.112,1.1632,1.28561,1.22282,0.55069,0.53979,0.53923,0.33608,1.45154,2.21959,1.55914,0.0016832,0.0016832,0.0016832
10,1086,1.20884,1.35917,1.23906,0.6332,0.54922,0.59507,0.37473,1.35403,1.76678,1.41364,0.0016436,0.0016436,0.0016436
11,1194.93,1.14649,1.27708,1.18924,0.70846,0.65473,0.69967,0.45314,1.34387,1.53421,1.37113,0.001604,0.001604,0.001604
12,1308.84,1.13667,1.21561,1.18522,0.67491,0.5544,0.63938,0.43081,1.17613,1.65224,1.30124,0.0015644,0.0015644,0.0015644
13,1415.47,1.135,1.18827,1.17511,0.6861,0.63422,0.66717,0.43281,1.25024,1.53152,1.37581,0.0015248,0.0015248,0.0015248
14,1523.42,1.09736,1.15454,1.15933,0.62365,0.70466,0.65129,0.42967,1.16771,1.53778,1.31163,0.0014852,0.0014852,0.0014852
15,1633.99,1.02873,1.03472,1.11562,0.63557,0.65285,0.6938,0.46008,1.23037,1.36564,1.34594,0.0014456,0.0014456,0.0014456
16,1743.13,1.04305,1.01079,1.12873,0.71743,0.66321,0.71403,0.48778,1.11623,1.28777,1.25212,0.001406,0.001406,0.001406
17,1846.92,1.06724,1.0948,1.17435,0.79069,0.72422,0.78311,0.53618,1.12979,1.22059,1.22676,0.0013664,0.0013664,0.0013664
18,1948.96,1.03423,1.03876,1.1361,0.73667,0.67358,0.73765,0.50683,1.11298,1.2417,1.20974,0.0013268,0.0013268,0.0013268
19,2053.5,1.02095,1.04084,1.12947,0.65583,0.69948,0.70842,0.49757,1.1076,1.35266,1.27401,0.0012872,0.0012872,0.0012872
20,2158.51,0.97642,1.00606,1.10609,0.74229,0.61187,0.70326,0.49437,1.10381,1.25587,1.2639,0.0012476,0.0012476,0.0012476
21,2261.43,1.023,1.00309,1.13363,0.76164,0.71503,0.77435,0.53184,1.0994,1.20428,1.24016,0.001208,0.001208,0.001208
22,2363.32,0.96098,0.94659,1.10538,0.70909,0.79793,0.79047,0.56154,1.00799,1.07186,1.16429,0.0011684,0.0011684,0.0011684
23,2466.19,0.98939,0.96655,1.10745,0.81986,0.69948,0.82041,0.57159,1.02962,1.09093,1.16689,0.0011288,0.0011288,0.0011288
24,2567.99,1.02207,1.02541,1.1419,0.72388,0.65201,0.71451,0.5179,1.00898,1.23693,1.15927,0.0010892,0.0010892,0.0010892
25,2669.84,0.91535,0.91581,1.08103,0.65104,0.70466,0.69741,0.50535,1.0149,1.18411,1.1858,0.0010496,0.0010496,0.0010496
26,2771.62,0.96357,0.88861,1.11759,0.64527,0.82383,0.77415,0.54617,1.01713,1.11878,1.18259,0.00101,0.00101,0.00101
27,2872.3,0.97544,0.9288,1.12266,0.7434,0.75053,0.77435,0.53484,1.02674,1.05868,1.21718,0.0009704,0.0009704,0.0009704
28,2976.39,0.94312,0.94623,1.10572,0.76289,0.76166,0.78588,0.5826,0.96207,1.04125,1.18166,0.0009308,0.0009308,0.0009308
29,3088.8,0.94512,0.90253,1.10087,0.74139,0.76684,0.80899,0.59304,0.98095,1.01241,1.14938,0.0008912,0.0008912,0.0008912
30,3199.47,0.95793,0.89712,1.10829,0.73664,0.79793,0.81064,0.60358,0.90131,0.96807,1.10329,0.0008516,0.0008516,0.0008516
31,3303.53,0.93368,0.89496,1.09845,0.79565,0.80311,0.81921,0.61288,0.93466,0.92019,1.10205,0.000812,0.000812,0.000812
32,3413.68,0.92085,0.82489,1.06323,0.81194,0.78298,0.84103,0.61792,0.9123,0.90618,1.08651,0.0007724,0.0007724,0.0007724
33,3517.96,0.90509,0.85549,1.09004,0.81833,0.77021,0.82581,0.62508,0.86117,0.88847,1.0801,0.0007328,0.0007328,0.0007328
34,3621.74,0.87295,0.80467,1.05019,0.75454,0.7772,0.80856,0.62476,0.84751,0.93409,1.06365,0.0006932,0.0006932,0.0006932
35,3725.91,0.89185,0.84457,1.07056,0.79703,0.78756,0.82472,0.64068,0.85096,0.85446,1.05094,0.0006536,0.0006536,0.0006536
36,3827.9,0.85838,0.81461,1.05229,0.80587,0.81732,0.83675,0.63799,0.83359,0.87261,1.04181,0.000614,0.000614,0.000614
37,3934.61,0.85561,0.7634,1.04406,0.79213,0.78756,0.83104,0.64231,0.82223,0.86996,1.04728,0.0005744,0.0005744,0.0005744
38,4036.66,0.84104,0.75319,1.04707,0.82666,0.79075,0.83787,0.64918,0.83995,0.86498,1.05246,0.0005348,0.0005348,0.0005348
39,4139.26,0.78175,0.73002,1.01608,0.80373,0.79275,0.85781,0.66353,0.81503,0.83926,1.04151,0.0004952,0.0004952,0.0004952
40,4240.87,0.8323,0.74268,1.04002,0.832,0.80829,0.85671,0.67139,0.81162,0.81971,1.03743,0.0004556,0.0004556,0.0004556
